iteration,user_34,user_22,user_75,user_64,user_4,groupDis,groupSat
1,0.6724491141480198,0.5150787251697246,0.6836272133162089,0.629180607498564,0.8662201375535522,0.35114141238382757,0.6733111595372139
2,0.5964991806384411,0.49899892896098924,0.4523551142421586,0.5224979291672908,0.628210370627799,0.17585525638564048,0.5397123047273358
3,0.6794256188672757,0.35961387420952184,0.6148145731973248,0.6862253286632031,0.4937745823400394,0.3266114544536812,0.5667707954554729
4,0.6849643939359208,0.6239193792428149,0.545509892897263,0.49036442451494305,0.358566666031579,0.3263977279043418,0.5406649513245042
5,0.7098721705420098,0.5219701413197294,0.5836457258500485,0.4938468700494059,0.3301394323158108,0.379732738226199,0.5278948680154009
6,0.6233184520231775,0.47676869898413515,0.49996991255756107,0.4699532329350658,0.5284861414960416,0.15336521908811168,0.5196992875991963
7,0.6715738614290433,0.636633277324641,0.5454199028234131,0.30274304849964395,0.4138416832069214,0.36883081292939934,0.5140423546567325
8,0.62309026544186,0.4277681439375669,0.6521419012540486,0.4958082976812142,0.19073248810394527,0.4614094131501033,0.47790821928372706
9,0.5996707522176564,0.4252197405491732,0.6456897492538518,0.38740532498490304,0.28947808934022057,0.35621165991363124,0.469492731269161
10,0.47494522888839985,0.3298528736693871,0.5786423610430956,0.4350686196659123,0.4899933475844495,0.24878948737370854,0.46170048617024884
