iteration,user_383,user_84,user_349,user_42,groupDis,groupSat
1,0.8937088056273518,0.7867319685995388,0.814802267077993,0.870348707351112,0.04263294453891105,0.8413979371639988
2,0.8768110900237366,0.7547291079700724,0.8121788986590793,0.8260096383872291,0.04347039209286232,0.8174321837600294
3,0.8452394012640023,0.7499359904701088,0.7841215751209314,0.8219937566134247,0.036360836389504374,0.8003226808671168
4,0.8408915147674442,0.7701230458586826,0.8062979059096392,0.741524181654482,0.03741733533975203,0.789709162047562
5,0.8588900645276853,0.7421258573450925,0.7832176356603248,0.7352807112309965,0.04916350767227247,0.7798785671910249
6,0.8254552960171675,0.7870217490713812,0.714654565105159,0.7578794686846969,0.040523994475445246,0.7712527697196011
7,0.778461704241237,0.7251028623117511,0.7708647910140431,0.7875971474487641,0.024067609159451473,0.7655066262539488
8,0.7991217151731269,0.7864778023054019,0.7467949602252769,0.7065034444657308,0.03628888775716433,0.7597244805423842
9,0.7695742182474103,0.7501616098780406,0.746643370095465,0.7458302176911844,0.009676811553143427,0.7530523539780251
10,0.7402633646282829,0.7645023849001062,0.7815014770989949,0.7260766365202755,0.02139917566404181,0.7530859657869149
